Time,Ground Truth,Estimation
2020-11-15 19:24:05,9,18
2020-11-15 19:24:15,10,18
2020-11-15 19:24:25,11,18
2020-11-15 19:24:35,12,18
2020-11-15 19:24:45,13,18
2020-11-15 19:24:55,12,18
2020-11-15 19:25:05,10,18
ç2020-11-15 19:25:15,10,18
2020-11-15 19:25:25,10,18
2020-11-15 19:25:35,10,18
2020-11-15 19:25:45,11,18
2020-11-15 19:25:55,11,18
2020-11-15 19:26:05,11,18
2020-11-15 19:26:15,12,18
2020-11-15 19:26:25,12,18
2020-11-15 19:26:35,12,18
2020-11-15 19:26:45,11,18
2020-11-15 19:26:55,11,18
2020-11-15 19:27:05,11,20
2020-11-15 19:27:15,13,20
2020-11-15 19:27:25,14,20
2020-11-15 19:27:35,13,18
2020-11-15 19:27:45,13,18
2020-11-15 19:27:55,11,18
2020-11-15 19:28:05,13,18
2020-11-15 19:28:15,13,18
2020-11-15 19:28:25,13,18
2020-11-15 19:28:35,12,18
2020-11-15 19:28:45,11,18
2020-11-15 19:28:55,11,18
2020-11-15 19:29:05,11,18
2020-11-15 19:29:15,12,18
2020-11-15 19:29:25,14,18
2020-11-15 19:29:35,14,18
2020-11-15 19:29:45,12,18
2020-11-15 19:29:55,11,18
2020-11-15 19:30:05,12,18
2020-11-15 19:30:15,12,18
2020-11-15 19:30:25,13,20
2020-11-15 19:30:35,14,20
2020-11-15 19:30:45,14,20
2020-11-15 19:30:55,13,18
2020-11-15 19:31:05,11,18
2020-11-15 19:31:15,11,18
2020-11-15 19:31:25,11,18
2020-11-15 19:31:35,11,18
2020-11-15 19:31:45,10,18
2020-11-15 19:31:55,11,18
2020-11-15 19:32:05,11,18
2020-11-15 19:32:15,11,18
2020-11-15 19:32:25,11,18
2020-11-15 19:32:35,11,18
2020-11-15 19:32:45,11,18
2020-11-15 19:32:55,11,18
2020-11-15 19:33:05,12,18
2020-11-15 19:33:15,13,18
2020-11-15 19:33:25,13,18
2020-11-15 19:33:35,12,18
2020-11-15 19:33:45,11,18
2020-11-15 19:33:55,11,18
2020-11-15 19:34:05,11,18
2020-11-15 19:34:15,11,18
2020-11-15 19:34:25,10,18
2020-11-15 19:34:35,11,18
2020-11-15 19:34:45,13,20
2020-11-15 19:34:55,13,20
2020-11-15 19:35:05,13,20
2020-11-15 19:35:15,12,18
2020-11-15 19:35:45,12,20
